>
-27.6056534000	-56.0668418980
-27.5596710000	-56.0696998980
-27.4881428000	-56.0782723980
-27.4063963000	-56.0954117980
-27.3348680000	-56.1239603980
-27.3246497000	-56.1268140980
-27.2786673000	-56.1524877980
-27.2531215000	-56.1695939980
-27.2071391000	-56.2123259980
-27.1867025000	-56.2521661980
-27.1867025000	-56.2834399980
-27.1867025000	-56.3118483980
-27.1918116000	-56.3260446980
-27.1969208000	-56.3430731980
-27.2071391000	-56.3742723980
-27.2377940000	-56.4026129980
-27.2684490000	-56.4281014980
-27.3246497000	-56.4592307980
-27.3910688000	-56.4875078980
-27.4319420000	-56.5016385980
-27.4830336000	-56.5157638980
-27.5392344000	-56.5242365980
-27.5954351000	-56.5242365980
-27.6720725000	-56.5214125980
-27.7436007000	-56.5101143980
-27.8100197000	-56.4903344980
-27.8662205000	-56.4592307980
-27.9070937000	-56.4337632980
-27.9428578000	-56.4026129980
-27.9786219000	-56.3572577980
-27.9939494000	-56.3118483980
-27.9939494000	-56.2777556980
-27.9888403000	-56.2464772980
-27.9632945000	-56.2037833980
-27.9275304000	-56.1667434980
-27.8866571000	-56.1353738980
-27.8406747000	-56.1125434980
-27.7793648000	-56.0896994980
-27.7129457000	-56.0754150980
-27.6976183000	-56.0725575980
-27.6414175000	-56.0668418980
-27.6056534000	-56.0668418980
>
-26.2619449000	-57.5958670980
-26.2415082000	-57.5986102980
-26.1546525000	-57.6315115980
-26.0780152000	-57.6725962980
-26.0575785000	-57.6999600980
-26.0422511000	-57.7245698980
-26.0422511000	-57.7327693980
-26.0371419000	-57.7764685980
-26.0524694000	-57.8255668980
-26.0780152000	-57.8664308980
-26.0831243000	-57.8745980980
-26.1188884000	-57.9099678980
-26.1291068000	-57.9181251980
-26.2210716000	-57.9615993980
-26.3283639000	-57.9914571980
-26.4050013000	-58.0023083980
-26.4816387000	-58.0104446980
-26.5684943000	-58.0023083980
-26.6553500000	-57.9806026980
-26.7370966000	-57.9425858980
-26.7984064000	-57.8936476980
-26.8443889000	-57.8446424980
-26.8597163000	-57.7928421980
-26.8443889000	-57.7355020980
-26.7984064000	-57.6808075980
-26.7013324000	-57.6178063980
-26.6349134000	-57.5986102980
-26.5684943000	-57.5903802980
-26.4816387000	-57.5794039980
-26.3385822000	-57.5821483980
-26.3181456000	-57.5848924980
-26.2619449000	-57.5958670980
>
-37.3163361000	-54.6727936980
-37.3718234000	-54.6431978980
-37.4006768000	-54.6238845980
-37.4339692000	-54.5813628980
-37.4650421000	-54.5555704980
-37.5072125000	-54.5336340980
-37.5360659000	-54.5181423980
-37.5582609000	-54.5052281980
-37.5782363000	-54.4948937980
-37.5915532000	-54.4845568980
-37.6248456000	-54.4587028980
-37.6403821000	-54.4470632980
-37.6514796000	-54.4393016980
-37.6869914000	-54.4173024980
-37.7202838000	-54.4017664980
-37.7424788000	-54.3927010980
-37.7446983000	-54.3914058980
-37.8401365000	-54.3590119980
-37.8889653000	-54.3369695980
-37.9444526000	-54.3136174980
-38.0043790000	-54.2954455980
-38.0643053000	-54.2811619980
-38.2085723000	-54.2577780980
-38.2884741000	-54.2434813980
-38.3661563000	-54.2226772980
