# Long	Lat	Depth	Mag
-28.204	-55.774	33	4.5
-28.182	-55.767	33	5.2
-27.268	-55.671	33	4.4
-27.919	-55.696	33	4.8
-27.99	-55.691	37	5.3
-28.256	-55.724	33	5.9
-27.888	-55.825	33	4.5
-28.588	-56.304	33	4.5
-28.728	-55.716	61	4.9
-28.954	-56.112	33	5
-28.246	-55.848	33	4.8
-28.45	-55.748	33	4.8
-28.441	-55.66	33	5
-28.104	-55.79	33	5.2
-28.105	-55.798	33	4.9
-28.703	-55.921	33	5.1
-28.441	-55.68	33	4.7
-28.937	-56.055	33	4.6
-28.486	-55.771	24	5.1
-28.43	-55.607	33	4.6
-28.464	-55.75	33	4.8
-28.295	-55.768	33	5.1
-28.275	-55.741	4	5.8
-28.078	-55.696	101	5
-27.876	-55.669	33	5
-28.195	-55.636	33	5.6
-28.25	-55.7	33	4.9
-25.559	-59.196	32	5.4
-27.725	-56.077	33	5.3
-26.135	-59.617	33	5.4
-28.361	-55.798	33	5.3
-28.096	-55.631	33	5.3
-28.159	-55.667	33	5
-28.244	-55.664	33	5.5
-29.143	-56.083	33	4.7
-27.893	-55.647	33	4.9
-28.15	-55.771	33	5.2
-28.03	-55.732	33	5
-27.554	-59.648	33	5.2
-20.448	-60.826	33	4.3
-27.891	-55.572	33	4.9
-28.092	-55.672	33	5.5
-27.809	-55.593	33	5.5
-28.204	-56.015	110	4.1
-25.297	-58.663	38	5.3
-27.816	-55.926	33	5.2
-28.306	-55.663	33	5.2
-28.036	-55.813	33	5.2
-27.967	-55.789	33	5.4
-27.942	-55.817	33	5.2
-28.142	-55.784	33	5.3
-58.838	-59.797	33	5.5
-60.83	-62.952	33	4.5
-60.644	-62.837	33	4.3
-60.346	-62.819	33	5.2
-60.424	-62.928	33	5
-25.974	-59.308	33	4.9
-24.985	-58.668	61	5.3
-26.38	-58.418	33	5
-36.237	-61.249	33	5
-26.914	-60.326	33	5.4
-26.925	-59.934	33	4.9
-27.606	-55.786	33	4.9
-25.08	-57.875	33	4.8
-25.33	-58.783	36	5.1
-28.205	-55.376	33	4.8
-26.068	-57.245	33	5.3
-26.807	-60.526	33	4.7
-25.53	-58.783	33	5.3
-26.949	-55.94	33	5.4
-27.462	-56.083	132	5.2
-26.718	-57.819	162	5.1
-25.961	-59.324	102	4.9
-26.231	-60.47	33	5
-26.016	-59.664	33	4.9
-26.252	-56.451	33	5.3
-37.598	-60.649	33	5.6
-27.451	-55.833	80	6
-27.401	-55.83	66	5.3
-38.088	-60.763	33	5.6
-26.323	-59.895	33	4.8
-27.515	-56.343	33	5.4
-28.309	-55.506	37	5.5
-26.071	-59.421	142	4.6
-27.446	-55.634	33	5.2
-29.878	-55.708	33	5.6
-27.002	-59.58	33	4.9
-25.019	-57.809	33	4.8
-26.763	-56.331	33	5.5
-25.232	-58.646	33	5.5
-23.766	-58.515	33	4.5
-24.912	-58.752	72	5.1
-25.621	-59.859	62	5
-25.905	-59.697	33	4.4
-27.048	-56.582	33	5
-27.371	-58.299	33	6
-27.232	-55.923	33	5.2
-26.125	-59.309	33	5.2
-25.418	-58.969	33	5.3
-26.746	-56.166	33	5.5
-26.138	-55.89	33	5
-28.345	-53.566	33	6
-26.591	-56.287	33	4.2
-23.688	-56.889	33	5.4
-37.085	-60.793	33	5.3
-26.151	-56.324	78	5.1
-27.895	-55.299	33	5.2
-28.044	-55.35	33	4.8
-28.187	-55.413	33	5.7
-28.106	-55.362	33	5.5
-29.074	-54.881	33	4.7
-26.429	-58.728	33	5.4
-57.397	-61.786	33	4.7
-55.919	-61.965	33	5.1
-56.502	-62.177	33	4.6
-56.254	-62.14	16	5
-56.119	-61.985	33	5.1
-56.053	-61.991	33	5.4
-56.073	-62.035	33	4.9
-27.348	-56.065	33	5.7
-55.872	-62.069	33	5.1
-27.11	-56.174	53	5.2
-25.019	-60.73	33	4.9
-25.53	-56.246	33	5.3
-27.012	-55.838	33	4.9
-56.403	-62.019	33	4.9
-27.166	-55.974	57	5.9
-56.825	-62.393	33	4.8
-56.519	-62.376	33	4.8
-28.077	-55.507	33	4.7
-56.311	-61.993	33	5.4
-25.908	-56.024	33	5.1
-25.793	-55.789	33	5.1
-56.157	-62.233	33	5.3
-27.919	-55.361	33	4.9
-56.353	-62.075	33	4.7
-25.4	-56.562	33	4.9
-27.029	-59.184	33	5.6
-27.124	-59.439	33	5.3
-25.367	-56.765	33	5.5
-26.065	-58.838	33	4.6
-20.799	-60.851	33	5.1
-25.743	-56.317	64	5.4
-27.678	-55.991	97	5.9
-27.33	-56.032	80	5.2
-25.304	-56.644	46	5.6
-25.339	-57.76	51	6.2
-25.509	-58.876	33	4.9
-27.005	-60.513	33	5.1
-25.736	-57.9	103	5.4
-68.478	-56.772	14	6.5
-68.047	-56.725	33	5.2
-68.529	-56.8	38	5.1
-24.02	-58.147	33	5
-68.954	-56.933	33	5.1
-64.415	-57.414	40	6
-27.519	-55.956	118	5.1
-27.427	-56.148	33	5.9
-25.557	-58.864	33	5.7
-25.67	-57.416	33	5.8
-26.07	-56.851	33	5.3
-27.422	-55.77	33	4.9
-26.443	-59.661	59	5.8
-25.369	-57.992	33	4.9
-28.404	-59.844	33	5.4
-25.482	-58.957	31	5.6
-27.284	-56.061	97	5.8
-61.756	-59.01	33	5.1
-25.509	-59.357	33	4.6
-26.217	-56.252	45	5.9
-27.708	-55.865	84	4.9
-26.01	-59.525	33	4.7
-24.807	-58.256	33	5.6
-58.557	-60.091	33	4.8
-24.215	-56.326	33	5.3
-26.178	-60.062	33	4.8
-27.504	-55.992	88	5.1
-25.893	-57.364	102	5.8
-59.127	-54.089	33	5.1
-26.781	-56.186	33	5.5
-26.739	-56.076	33	5.5
-25.897	-59.032	33	4.6
-25.514	-57.897	33	5.1
-27.775	-56.133	133	4.6
-23.09	-60.933	33	6.3
-24.554	-59.691	33	5
-24.682	-59.465	33	5.4
-27.235	-60.586	33	5.2
-25.34	-57.878	33	5.3
-25.631	-55.713	33	5.4
-26.786	-60.431	33	4.8
-26.56	-60.351	33	5.2
-26.746	-60.617	33	5.1
-27.118	-56.009	33	5.3
-27.052	-55.93	33	5
-47.255	-60.209	33	5.3
-29.009	-55.143	33	5.3
-28.928	-55.218	33	5.3
-28.861	-55.226	33	5.1
-29.035	-55.187	33	4.8
-25.565	-56.519	33	5.1
-68.062	-56.874	33	5.2
-27.558	-56.115	122	6.1
-26.443	-56.193	33	5.3
-25.901	-59.705	33	4.8
-27.788	-56.013	112	6.1
-27.907	-55.902	120	5.3
-20.508	-59.426	33	7.1
-20.166	-59.483	33	4.8
-20.055	-59.528	33	4.4
-21.297	-59.503	33	5.4
-25.928	-59.441	33	5.3
-25.661	-56.38	38	5.9
-25.639	-56.33	33	5.1
-27.29	-56.177	102	4.6
-25.881	-56.378	33	5.1
-25.745	-56.531	82	5.6
-25.721	-56.322	33	5.4
-26.525	-55.514	33	5.2
-26.369	-55.555	33	5.1
-25.676	-59.561	33	5.2
-26.746	-55.615	33	4.6
-28.88	-55.206	33	5.1
-70.515	-53.973	33	4.9
-27.661	-56.035	33	5.3
-27.404	-56.031	175	5.3
-27.857	-55.96	127	5.6
-27.832	-56.03	141	5.5
-24.903	-60.759	33	4.5
-25.389	-56.531	33	5.4
-27.602	-55.945	102	5
-49.013	-60.224	33	5.2
-27.401	-56.124	132	5.5
-26.478	-56.391	33	5.5
-27.721	-55.627	33	5.5
-25.589	-56.446	33	5.5
-25.486	-56.428	33	5.9
-25.533	-56.622	33	5.7
-25.64	-56.505	33	5.8
-25.444	-58.733	33	5
-25.388	-56.706	33	5.7
-26.539	-60.135	33	4.9
-26.281	-58.985	109	5
-25.786	-58.281	73	5.8
-25.524	-56.769	33	5.9
-27.108	-56.511	157	5.3
-26.163	-59.583	47	5.1
-27.258	-55.847	33	5.2
-25.257	-60.606	33	5.3
-29.636	-57.149	33	5
-26.185	-58.806	33	5
-27.058	-56.47	120	5.5
-56.049	-60.837	33	5.8
-56.033	-60.885	33	4.9
-26.063	-55.474	33	5.4
-26.441	-59.763	98	5.6
-27.656	-56.31	33	5.4
-26.848	-55.609	33	4.9
-26.707	-56.22	33	5.3
-39.806	-60.633	33	4.7
-25.477	-57.932	90	5.6
-24.981	-58.856	33	5.1
-26.385	-59.734	122	4.8
-27.404	-56.482	33	5.1
-25.184	-57.923	52	5.6
-26.307	-59.673	33	5.2
-26.413	-59.552	10	5.5
-25.81	-59.508	33	4.7
-26.111	-59.556	33	5.4
-28.653	-56.146	288	5.1
-26.797	-56.424	33	5.1
-26.887	-56.316	104	5.6
-26.535	-59.748	33	4.7
-23.183	-58.632	33	5.3
-25.238	-59.629	33	4.7
-27.254	-56.171	132	5.5
-26.716	-56.241	33	5.2
-27.262	-56.024	217	5.1
-26.894	-56.135	67	5.4
-35.906	-61.006	10	4.7
-54.295	-61.07	10	4.9
-26.181	-59.451	83	4.8
-26.229	-59.632	33	4.8
-27.76	-55.649	33	5.4
-29.392	-60.088	45	5.8
-26.552	-59.007	33	5
-32.181	-60.329	10	4.9
-32.095	-60.428	10	5.5
-25.395	-59.077	33	5.4
-25.646	-56.225	33	5.2
-29.964	-55.54	33	5.3
-75.098	-52.838	33	5.5
-25.131	-58.72	33	5
-27.868	-55.977	132	5.8
-27.07	-55.841	33	5.2
-29.095	-55.728	33	5.3
-27.058	-56.573	127	5
-74.123	-51.905	33	4.8
-27.026	-56.228	90	5.7
-27.069	-59.991	33	4.6
-27.707	-55.925	95	4.9
-27.493	-55.943	91	5.3
-26.016	-56.359	33	5.9
-58.14	-56.896	33	5.1
-25.53	-56.269	33	5.2
-25.596	-58.631	92	5.6
-50.223	-60.595	10	5.9
-50.304	-60.526	10	6.2
-50.306	-60.578	10	5.6
-64.322	-59.937	33	4.9
-25.35	-58.846	33	4.8
-25.242	-58.76	33	5.5
-72.914	-62.575	10	5.1
-40.695	-60.672	10	5.2
-24.848	-58.987	33	4.8
-26.296	-56.58	85	5.6
-25.068	-58.752	69	5.2
-26.502	-55.96	33	5
-26.092	-60.066	98	4.8
-22.146	-58.589	33	5.4
-27.081	-56.631	125	5.6
-66.635	-57.441	10	5.2
-25.382	-60.652	33	4.5
-25.492	-58.832	62	5.2
-26.491	-55.99	33	5.3
-30.15	-55.765	33	4.8
-25.218	-57.905	53	5.4
-25.72	-59.276	66	5.1
-29.461	-59.489	33	4.7
-27.592	-55.919	132	5.1
-29.456	-59.589	33	5.1
-26.584	-55.924	33	5.1
-27.607	-56.087	99	5.1
-25.927	-59.664	33	4.9
-25.63	-57.839	86	5.3
-25.911	-58.29	119	4.7
-25.906	-57.037	68	4.9
-25.156	-57.911	41	4.6
-28.799	-55.274	33	4.8
-38.094	-60.917	10	4.7
-25.661	-55.445	59	5.2
-25.473	-57.887	33	5.3
-25.688	-56.278	33	5.2
-56.429	-61.387	33	5.8
-26.814	-56.29	104	5.3
-26.618	-55.698	33	5.4
-26.865	-55.61	33	5.4
-27.573	-55.974	96	5.6
-26.127	-59.641	135	4.9
-52.698	-60.348	10	4.9
-27.061	-56.15	88	5.2
-27.348	-56.033	97	4.8
-26.271	-58.722	118	4.6
-27.155	-59.424	33	5.1
-27.068	-59.515	33	5.1
-26.826	-55.557	33	5
-26.663	-55.938	33	4.8
-55.426	-61.091	22	6
-55.562	-60.923	33	5
-27.006	-59.323	33	5.5
-26.129	-56.005	53	5.3
-27.441	-56.003	95	5.1
-27.195	-56.115	115	5.6
-27.227	-56.376	120.5	5
-24.193	-56.336	33	5
-26.966	-56.451	136	5.1
-26.46	-56.117	33	5.2
-24.036	-58.129	50.6	5.4
-31.4	-59.74	33	5.1
-27.382	-55.908	89.2	5.6
-27.442	-55.989	86	5.8
-28.091	-55.941	151.1	4.7
-25.42	-58.891	33	5.1
-26.962	-56.073	99.7	5.5
-25.582	-58.994	116.9	4.6
-27.434	-55.873	76.4	5.1
-24.814	-56.405	53	5.6
-24.541	-60.746	33	3.7
-29.393	-60.137	33	5.3
-27.425	-56.026	89.8	4.8
-25.906	-55.973	60	5
-27.744	-55.926	110.6	5.2
-26.983	-60.253	33	4.8
-28.531	-60.85	33	4.9
-25.887	-60.013	33	5
-25.366	-58.711	115.4	4.8
-26.957	-56.086	98.3	4.8
-25.082	-59.304	67.1	5.1
-27.35	-56.397	122	5.7
-26.561	-56.426	105.5	5.3
-26.238	-59.713	33	5.5
-66.371	-61.486	10	5.1
-27.333	-56.375	195.7	4.7
-27.272	-55.995	93	5.5
-26.44	-59.389	33	4.4
-26.481	-56.363	104	5.8
-26.531	-56.44	79.8	5.7
-25.27	-56.81	33	4.8
-25.174	-56.81	33	4.8
-25.433	-56.134	33	5.4
-27.299	-60.301	118.4	4.8
-27.531	-56.067	127	5.4
-27.291	-56.037	102	6
-28.042	-55.283	33	5.1
-46.859	-52.965	10	5.4
-27.226	-56.017	138.6	5.1
-46.782	-52.733	10	6
-47.09	-52.856	10	5.2
-27.315	-56.166	33	5
-27.075	-60.278	33	4.9
-27.327	-55.461	33	5
-27.606	-55.7	31	5.2
-26.281	-59.551	33	5.2
-25.307	-57.899	33	4.9
-27.457	-56.245	105.8	5.7
-20.877	-60.597	10	6.7
-26.234	-58.476	120.1	5.2
-26.073	-59.547	33	5.4
-25.982	-59.665	33	4.8
-27.794	-55.679	33	5.2
-27.121	-59.3	142.5	4.4
-26.731	-55.655	33	5.3
-25.305	-57.928	33	5.2
-24.169	-57.999	33	4.7
-27.42	-55.598	33	5.3
-62.261	-58.601	10	5.2
-26.296	-59.817	33	5.1
-25.999	-59.296	33	5
-27.076	-55.767	33	5.3
-28.073	-55.393	33	5.2
-28.255	-55.353	33	5.4
-26.873	-55.788	33	5.6
-22.143	-61.061	10	5.3
-56.217	-54.377	10	5.7
-20.655	-60.754	10	4.9
-56.311	-54.415	10	5.6
-24.902	-56.653	33	4.7
-29.684	-55.773	33	4.9
-29.77	-55.719	33	4.7
-61.039	-62.91	33	5
-61.711	-62.894	33	4.5
-25.161	-57.856	33	5
-25.737	-57.43	72.4	5.9
-25.881	-59.445	76	4.7
-26.262	-59.495	45	5.5
-26.82	-55.491	33	5
-24.311	-57.966	56	6.5
-24.411	-58.088	33	4.7
-24.355	-58.115	33	4.9
-24.649	-57.857	50	4.6
-24.358	-57.552	50	4.9
-24.614	-58.778	50	4.6
-62.756	-62.059	10	5.3
-24.133	-58.265	33	4.9
-20.411	-60.791	10	5
-23.774	-57.954	30	4.5
-24.206	-58.151	42	5.5
-25.544	-58.919	33	5.1
-26.712	-56.113	33	5.3
-26.559	-54.425	33	4.3
-27.695	-56.039	98	5.4
-24.62	-61.108	33	4.8
-26.926	-59.157	33	5.3
-26.243	-56.207	47	5.3
-29.334	-59.401	33	5.3
-26.301	-59.716	33	5.3
-25.173	-58.712	33	5
-62.892	-58.631	33	5.3
-26.039	-54.545	33	4.9
-27.787	-56.018	33	5.3
-25.958	-58.951	33	5.2
-25.832	-59.444	33	4.9
-27.233	-56.102	33	5.2
-24.429	-59.509	33	4.9
-26.18	-59.446	33	4.8
-25.373	-57.934	32.4	5.6
-27.994	-55.575	33	5.5
-25.615	-57.879	33	5.7
-53.02	-60.889	10	6.9
-53.618	-60.921	10	5.3
-53.793	-60.93	10	4.8
-53.604	-61.009	10	5
-53.425	-60.986	10	4.9
-53.643	-60.917	10	4.9
-52.884	-60.982	10	4.9
-52.671	-60.773	10	4.9
-26.245	-59.787	33	5.2
-23.256	-58.276	33	5.1
-26.48	-56.304	33	5.3
-53.82	-61.162	10	4.5
-65.208	-57.302	10	5.1
-26.268	-55.513	33	4.7
-27.067	-60.371	33	5.5
-24.83	-55.953	37.9	5.5
-27.741	-56.006	122.8	5.3
-26.021	-58.752	33	4.9
-25.1	-56.889	33	5.9
-25.451	-60.665	24	7.2
-25.682	-60.49	33	5.4
-24.865	-60.404	33	6.3
-25.392	-60.62	33	6.5
-25.249	-60.282	33	5.5
-25.312	-60.388	33	5.1
-25.275	-60.478	33	4.5
-24.769	-60.413	33	4.8
-24.543	-60.324	33	4.8
-24.454	-60.201	33	4.5
-24.94	-60.281	33	5.4
-27.045	-56.369	94.5	5.2
-26.227	-58.883	111	5.3
-26.124	-60.689	33	4.7
-26.383	-56.494	84.6	5.8
-26.33	-55.531	33	4.7
-27.629	-56.041	120	5.8
-27.762	-55.919	88.8	5.8
-25.647	-56.282	33	4.8
-24.144	-55.033	33	5.4
-36.071	-60.951	10	5.6
-26.523	-56.297	33	5.3
-29.565	-55.246	80	4.8
-29.669	-55.855	53	5.6
-26.625	-56.558	125.2	5.7
-25.087	-57.935	33	5.5
-26.985	-55.749	33	5.1
-62.332	-62.798	71.6	4.6
-61.864	-62.972	59.4	5.8
-25.555	-57.86	58.3	5.3
-26.829	-59.735	101.3	5.5
-65.332	-57.827	10	5.4
-26.692	-59.922	33	5.2
-26.91	-60.106	33	5.6
-27.821	-55.924	148.9	5.1
-27.399	-56.1	97.7	5.7
-27.227	-60.387	33	4.9
-27.358	-60.47	33	4.6
-27.388	-56.392	129.2	6
-26.716	-55.633	33	5.1
